name,url,categories,website,phone,address
CarryOutSupplies.com,https://internationalfrozenyogurt.com/suppliers/carryoutsupplies-com/,Packaging,http://www.carryoutsupplies.com,(888) 982-1628,"167 N. Sunset Ave.,City of Industry,CA 91746,US"
CupPrint,https://internationalfrozenyogurt.com/suppliers/cupprint/,Packaging,http://www.cupprint.com,+49 5485 833 413 28,Germany | Ireland
Dannon YoCream,https://internationalfrozenyogurt.com/suppliers/dannon-yocream/,Frozen yogurt mix,http://www.yocream.com/,(503) 256-3754,"5858 NE 87th Avenue,Portland, OR 92270,US"
Electro Freeze of Nor Cal,https://internationalfrozenyogurt.com/suppliers/electro-freeze-of-nor-cal/,Frozen yogurt machines,,916-842-1427,"4141 Northgate Blvd.,Sacramento, CA 95834,US"
"Electro Freeze/H.C. Duke & Son, LLC",https://internationalfrozenyogurt.com/suppliers/electro-freezeh-c-duke-son-llc/,Frozen yogurt machines,http://www.electrofreeze.com,(800) 755-4545,"2116 8th Ave.,East Moline, IL 61244,US"
Forte Supply,https://internationalfrozenyogurt.com/suppliers/forte-supply/,Frozen yogurt machines,,(720) 328-1020,"4699 Nautilus Ct., Suite 100,Boulder,CO 80301,US"
FroCup,https://internationalfrozenyogurt.com/suppliers/frocup/,"Frozen yogurt mix,Packaging,Restaurant equipment,Toppings & ingredients",http://www.frocup.com,(800) 788-0808,"220 E. Germann Rd #106,Gilbert, AZ 85297,US"
Frozen Dessert Supplies,https://internationalfrozenyogurt.com/suppliers/frozen-dessert-supplies/,Packaging,http://www.frozendessertsupplies.com/,(480) 428-1999,"67 S. Higley Rd. #103151,Gilbert,AZ 85296,US"
Frozen Solutions,https://internationalfrozenyogurt.com/suppliers/frozen-solutions/,"Packaging,Point of sale systems",http://frozen-solutions.com/,(949) 307-3861,"23875 Ventura Blvd Suite 103,Calabasas, CA 91302,US"
Green Payment Solutions,https://internationalfrozenyogurt.com/suppliers/green-payment-solutions/,Consulting/Services,http://greenpaymentsolution.com/,(888) 339-8808,"6400 Laurel Canyon Blvd, Suite A-200,North Hollywood, CA 91606,US"
Honey Hill Frozen Yogurt,https://internationalfrozenyogurt.com/suppliers/honey-hill-frozen-yogurt/,Frozen yogurt mix,http://www.thehoneyhillfarms.com,(800) 445-2715,"301 N El Paso,Russelville,AR 72801,US"
Magical Flavors,https://internationalfrozenyogurt.com/suppliers/magical-flavors/,Frozen yogurt mix,http://www.magicalflavors.com/,(866) 930-0130,"808 Commerce Park Dr., Unit 877,Ogdensburg, NY 13669,US"
Nanci’s Frozen Yogurt,https://internationalfrozenyogurt.com/suppliers/nancis-frozen-yogurt/,Frozen yogurt mix,http://www.nancis.com,(800) 788-0808,"220 E. Germann Rd #106,Gilbert, AZ 85297,US"
Plas Farm Ltd.,https://internationalfrozenyogurt.com/suppliers/plas-farm-ltd/,Frozen yogurt mix,http://www.plas-farm.co.uk/,44 (0) 1248 422011,"Celtic House,Gaerwen,Anglesey LL60 6HR,UK"
Revel Systems,https://internationalfrozenyogurt.com/suppliers/revel-systems/,Point of sale systems,http://revelsystems.com/,855-738-3555,"88 1st St. 2nd Floor,San Francisco,CA 94105,US"
Spaceman USA,https://internationalfrozenyogurt.com/suppliers/spaceman-usa/,Frozen yogurt machines,http://spacemanusa.com/,(888) 610-5520,"525 W 66th St,,Loveland, CO 80538,US"
Yogurt Distribution Company,https://internationalfrozenyogurt.com/suppliers/yogurt-distribution-company/,Frozen yogurt mix,http://funfoods.ca/,(866) 930-0130,"808 Commerce Park Dr., Unit 877,Ogdensburg, NY 13669,US"
Yogurt Powder Factory,https://internationalfrozenyogurt.com/suppliers/yogurt-powder-factory-2/,Frozen yogurt mix,http://yogurtpowderfactory.com,1-540-322-1707,"1130 International Parkway,Suite 105,Fredericksburg, VA 22406,US"
